judge,typeCase,reason,claimАmount,amountАwarded
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",400,400
"Станка ВР. Коларова",НАХД,"наказателно постановление",2000,200
"Станка ВР. Коларова",НАХД,"Електронен фиш",600,600
"Станка ВР. Коларова",НАХД,"наказателно постановление",2000,200
"Станка ВР. Коларова",НАХД,"глоба",1000,0
"Станка ВР. Коларова",НАХД,"глоба",250,250
"Станка ВР. Коларова",НАХД,"глоба",500,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",2000,0
"Станка ВР. Коларова",НАХД,"наказателно постановление",1200,800
"Станка ВР. Коларова",НАХД,"Електронен фиш",900,900
"Станка ВР. Коларова",НАХД,"глоба",1000,0
"Станка ВР. Коларова",НАХД,"глоба",920,920
"Станка ВР. Коларова",НАХД,"глоба",500,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",300,0
"Станка ВР. Коларова",НАХД,"наказателно постановление",2000,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",300,300
"Станка ВР. Коларова",НАХД,"наказателно постановление",400,400
"Станка ВР. Коларова",НАХД,"глоба",650,650
"Станка ВР. Коларова",НАХД,"глоба",500,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",400,400
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"наказателно постановление",2000,200
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",600,600
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"наказателно постановление",400,400
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",1000,0
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",250,250
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",500,500
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",2000,0
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"наказателно постановление",1200,800
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",900,900
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",1000,0
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",920,920
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",500,500
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",300,0
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"наказателно постановление",2000,500
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",300,300
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"наказателно постановление",400,400
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",650,650
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",500,500
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",400,400
"Станка ВР. Коларова",НАХД,"наказателно постановление",2000,200
"Станка ВР. Коларова",НАХД,"Електронен фиш",600,600
"Станка ВР. Коларова",НАХД,"наказателно постановление",400,400
"Станка ВР. Коларова",НАХД,"глоба",1000,0
"Станка ВР. Коларова",НАХД,"глоба",250,250
"Станка ВР. Коларова",НАХД,"глоба",500,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",2000,0
"Станка ВР. Коларова",НАХД,"наказателно постановление",1200,800
"Станка ВР. Коларова",НАХД,"Електронен фиш",900,900
"Станка ВР. Коларова",НАХД,"глоба",1000,0
"Станка ВР. Коларова",НАХД,"глоба",920,920
"Станка ВР. Коларова",НАХД,"глоба",500,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",300,0
"Станка ВР. Коларова",НАХД,"наказателно постановление",2000,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",300,300
"Станка ВР. Коларова",НАХД,"наказателно постановление",400,400
"Станка ВР. Коларова",НАХД,"глоба",650,650
"Станка ВР. Коларова",НАХД,"глоба",500,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",400,400
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"наказателно постановление",2000,200
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",600,600
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"наказателно постановление",2000,200
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",1000,0
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",250,250
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",500,500
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",2000,0
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"наказателно постановление",1200,800
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",900,900
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",1000,0
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",920,920
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",500,500
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",300,0
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"наказателно постановление",2000,500
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",300,300
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"наказателно постановление",400,400
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",650,650
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"глоба",500,500
"МАРИНА ИВ. МАВРОДИЕВА",НАХД,"Електронен фиш",400,400
"Станка ВР. Коларова",НАХД,"наказателно постановление",2000,200
"Станка ВР. Коларова",НАХД,"Електронен фиш",600,600
"Станка ВР. Коларова",НАХД,"наказателно постановление",2000,200
"Станка ВР. Коларова",НАХД,"глоба",1000,0
"Станка ВР. Коларова",НАХД,"глоба",250,250
"Станка ВР. Коларова",НАХД,"глоба",500,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",2000,0
"Станка ВР. Коларова",НАХД,"наказателно постановление",1200,800
"Станка ВР. Коларова",НАХД,"Електронен фиш",900,900
"Станка ВР. Коларова",НАХД,"глоба",1000,0
"Станка ВР. Коларова",НАХД,"глоба",920,920
"Станка ВР. Коларова",НАХД,"глоба",500,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",300,0
"Станка ВР. Коларова",НАХД,"наказателно постановление",2000,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",300,300
"Станка ВР. Коларова",НАХД,"наказателно постановление",400,400
"Станка ВР. Коларова",НАХД,"глоба",650,650
"Станка ВР. Коларова",НАХД,"глоба",500,500
"Станка ВР. Коларова",НАХД,"Електронен фиш",400,400
"Петя ПР. Иванова",НАХД,"Електронен фиш",600,600
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",250,250
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",2000,0
"Петя ПР. Иванова",НАХД,"Електронен фиш",900,900
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",920,920
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,0
"Петя ПР. Иванова",НАХД,"наказателно постановление",2000,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,300
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",650,650
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",400,400
"Петя ПР. Иванова",НАХД,"Електронен фиш",600,600
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",250,250
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",2000,0
"Петя ПР. Иванова",НАХД,"Електронен фиш",900,900
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",920,920
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,0
"Петя ПР. Иванова",НАХД,"наказателно постановление",2000,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,300
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",650,650
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",400,400
"Петя ПР. Иванова",НАХД,"Електронен фиш",600,600
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",250,250
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",2000,0
"Петя ПР. Иванова",НАХД,"Електронен фиш",900,900
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",920,920
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,0
"Петя ПР. Иванова",НАХД,"наказателно постановление",2000,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,300
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",650,650
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",400,400
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",250,250
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",2000,0
"Петя ПР. Иванова",НАХД,"Електронен фиш",900,900
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",920,920
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,0
"Петя ПР. Иванова",НАХД,"наказателно постановление",2000,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,300
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",650,650
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",400,400
"Петя ПР. Иванова",НАХД,"Електронен фиш",600,600
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",250,250
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",2000,0
"Петя ПР. Иванова",НАХД,"Електронен фиш",900,900
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",920,920
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,0
"Петя ПР. Иванова",НАХД,"наказателно постановление",2000,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,300
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",650,650
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",400,400
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",250,250
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",900,900
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",920,920
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,900
"Петя ПР. Иванова",НАХД,"наказателно постановление",2000,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,300
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",650,650
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",400,400
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",250,250
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",2000,0
"Петя ПР. Иванова",НАХД,"Електронен фиш",900,900
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",920,920
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,0
"Петя ПР. Иванова",НАХД,"наказателно постановление",2000,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,300
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",650,650
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",400,400
"Петя ПР. Иванова",НАХД,"Електронен фиш",600,600
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",250,250
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",2000,0
"Петя ПР. Иванова",НАХД,"Електронен фиш",900,900
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",920,920
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,0
"Петя ПР. Иванова",НАХД,"наказателно постановление",2000,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,300
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",650,650
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",400,400